monitor_id,interim,comment,classification,action_category
FM01,Interim1,"Telemetry download. Poor data - depths all below 0.05m (some negative depths recorded). Velocities better but spiky data. No flows recorded in normal conditions and very minor storm response recorded.

Alt: Any MH US or DS e.g. 8703 or 8801 US",bad_data_storm_response_failed,investigate_storm_failure
FM02,Interim1,"No data until 09/08/2024. Data from 09/08/2024 seems ok, diurnal profile recorded. Flows responsive to rainfall. Scatter plot looks good. DWF seems low - possibly under-recorded.",bad_data,recommend_remove_or_relocate
FM03,Interim1,Very low flows recorded in DWF (small catchment area upstream). Flows responsive to storms. Depth data tends to drift.,partial_good_data,partial_data_needs_review
FM04,Interim1,Good data. Diurnal profile evident. Flows responsive to rainfall. Scatter plot looks good.,good_data,no_action_continue_monitoring
FM05,Interim1,FM on secondary leg of bifurcation - no flow recorded. Tiny response to storm event.,partial_good_data,partial_data_needs_review
FM06,Interim1,"Very poor data. No depths recorded until 09/08/24, and look unreliable after that. No velocities recorded in DWF. Contractor states ""Loose sensor cleaned and refitted to ring"".",bad_data,sensor_fault_or_ragging
FM09,Interim1,Data not retrieved.,bad_data,recommend_remove_or_relocate
FM10,Interim1,Data not retrieved.,bad_data,recommend_remove_or_relocate
FM11,Interim1,Data not retrieved.,bad_data,recommend_remove_or_relocate
FM13,Interim1,Data not retrieved.,bad_data,recommend_remove_or_relocate
FM14,Interim1,Telemetry download. 4 days of data available. Very low flows - small catchment upstream. Small response to rainfall. Wide scatter. Unlikely to get better data elsewhere due to small u/s catchment.,partial_good_data,partial_data_needs_review
FM15,Interim1,"Telemetry download. 4 days of data available. Low flows. Small response to rainfall. Wide scatter. U/S FM16 records much higher peak flows, however there is a CSO between the two.",partial_good_data,partial_data_needs_review
FM16,Interim1,"Telemetry download. 4 days of data available. Minimal flows in DWF. Good storm response. Scatter plot looks reasonable. Peak flows significantly decrease at d/s FM15, however there is a CSO between the two.",partial_good_data,partial_data_needs_review
FM17,Interim1,Telemetry download. 4 days of data available. Poor data for first 3 days. Velcoities and depths jump up on 08/08/24. Need more data to assess quality.,partial_good_data,partial_data_needs_review
FM18,Interim1,Telemetry download. 4 days of data available. Located on spill pipe - no flows in DWF. Minor storm response on 05/08/2024,bad_data_storm_response_failed,investigate_storm_failure
FM19,Interim1,Telemetry download. 4 days of data available. Data looks reasonable quality. Minimal DWF due to small u/s catchment but diurnal profile evident. Flows respond to rainfall.,partial_good_data,partial_data_needs_review
FM20,Interim1,Data not retrieved.,bad_data,recommend_remove_or_relocate
FM21,Interim1,"Telemetry download. Good data quality. Clear diurnal profile and strong storm response. Close scatter with evidence of surchrage. Unable to check volume balance - data not available at u/s monitor, poor data at d/s monitor.",good_data,no_action_continue_monitoring
FM22,Interim1,No data for 1.5 days at start. Depth data looks good following this. Velocity data drops out on 08/08/24. Sensor cleaned from ragging.,bad_data,sensor_fault_or_ragging
FM23,Interim1,Data not retrieved.,bad_data,recommend_remove_or_relocate
FM24,Interim1,Telemetry download. Small upstream catchment. No / minimal flow recorded in DWF. Minor storm response.,bad_data_storm_response_failed,investigate_storm_failure
FM25,Interim1,Data looks reasonable. Diurnal profile evident in DWF. Flows respond to rainfall. Medium scatter. Pump profile evident from 11/08/24.,partial_good_data,partial_data_needs_review
FM26,Interim1,"Telemetry download. Depths look ok, velocities drop out in places. Diurnal profile evident in DWF. Flows respond to rainfall. Medium scatter. Pump profile evident in flow from 11/08/24. Volume balance with u/s FM24 and FM25 is ok for first storm but not for second due to data drop outs.",partial_good_data,partial_data_needs_review
FM27,Interim1,Telemetry download. Data looks reasonable. Low flows in DWF. Good storm response. Close scatter.,partial_good_data,partial_data_no_action
FM28,Interim1,Good data. Diurnal profile evident. Flows responsive to rainfall. Scatter plot looks good. Volume balance ok.,good_data,no_action_continue_monitoring
FM29,Interim1,Telemetry download. 4 days of data available. Data looks reasonable quality. Diurnal profile evident in DWF. Good storm response. Medium scatter.,partial_good_data,partial_data_needs_review
FM30,Interim1,"Telemetry download. 4 days of data available. Very low flows in DWF (relatively small u/s catchment). Some storm response. Generally quite poor data (outgoing pipe).

Alt: Any MH DS, alts may be in gardens so possibly 0706 is best.",partial_good_data,partial_data_needs_review
FM31,Interim1,Small u/s catchment. Minimal DWF recorded. Good storm response. Close scatter. ,partial_good_data,partial_data_no_action
FM32,Interim1,"Poor data. Depths all below 0.06m. No DWF recorded. Some storm response. Scattergraph shows little to no correlation.

Alt: No clear alt without missing flows from one of two incoming lines to installed MH. Would need 2nd FM to cover both lines.",bad_data_storm_response_failed,investigate_storm_failure
FM33,Interim1,"Telemetry download. 4 days of data available. FM located on spill pipe - no DWF, minor storm response.",bad_data_storm_response_failed,investigate_storm_failure
FM34,Interim1,"No data recorded for first 2 days. Velocity data shows diurnal profile and storm response. Depth data looks unreliable. Wide scatter.

Alt: Numerous alts US and DS e.g. 9208 or 9201.",bad_data_storm_response_failed,investigate_storm_failure
FM35,Interim1,Not provided.,partial_good_data,partial_data_needs_review
FM37,Interim1,"Telemetry download. Poor data - messy - no evidence of diurnal profile or storm response. Located on outgoing pipe. Scatter plot shows no correlation.

Alt: only 1no. MH as alt available 4109.",bad_data_storm_response_failed,investigate_storm_failure
FM38,Interim1,Located d/s of SPS - pump profile evident. Good storm response. Data and scatter plot look good. Volume imbalance with d/s FM41,partial_good_data,partial_data_needs_review
FM39,Interim1,"Fast flow. Poor data for first 3.5 days, including first storm event. Depths and volumes improve after second storm event. Located d/s of a PS - pump profile evident. Fairly close scatter plot for data after second storm event. Volume imbalance with d/s FM40. Flows reduce by about half during DWF.",bad_data,sensor_fault_or_ragging
FM40,Interim1,Located d/s of SPS - pump profile evident. Evidence of diurnal profile. Good storm response. Close scatter. Volume imbalance with u/s FM39.,partial_good_data,partial_data_no_action
FM41,Interim1,Located d/s of SPS - pump profile evident. Evidence of diurnal profile. Good storm response. Close scatter. Volume imbalance with u/s FM38.,partial_good_data,partial_data_no_action
FM42,Interim1,Telemetry download. 4 days of data available. Good data. Close scatter. Diurnal profile evident and good storm response.,good_data,no_action_continue_monitoring
